neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,log_price
Manhattan,Harlem,40.80592,-73.95172,Private room,30,35,0.27,1,25,3.970291913552122
Brooklyn,Bensonhurst,40.61943,-73.99232,Entire home/apt,30,38,0.22,1,29,4.663439094112067
Manhattan,Harlem,40.81553,-73.95438,Private room,30,36,0.22,1,38,4.51085950651685
Manhattan,Chelsea,40.7401,-74.00019,Entire home/apt,30,38,0.22,1,85,4.948759890378168
Brooklyn,Prospect Heights,40.67319,-73.96804,Entire home/apt,30,19,0.11,1,364,5.0106352940962555
Brooklyn,Williamsburg,40.71085,-73.96672,Entire home/apt,30,11,0.06,1,328,5.204006687076795
Staten Island,Shore Acres,40.61019,-74.06757,Entire home/apt,30,101,0.59,1,305,4.382026634673881
Brooklyn,Bedford-Stuyvesant,40.68563832502508,-73.92470229417086,Private room,30,92,0.54,1,364,5.081404364984463
Manhattan,East Harlem,40.79147,-73.94629,Entire home/apt,30,128,0.75,4,53,4.976733742420574
Brooklyn,Bedford-Stuyvesant,40.68518847176618,-73.94268839549034,Private room,3,573,3.37,1,62,4.68213122712422
Queens,Ridgewood,40.70132,-73.90883,Private room,30,24,0.16,1,365,4.418840607796598
Brooklyn,South Slope,40.66386,-73.98519,Entire home/apt,30,39,0.23,1,215,5.662960480135946
Manhattan,Chelsea,40.74168,-74.00339,Private room,30,85,0.5,2,364,4.700480365792417
Manhattan,Midtown,40.75408,-73.97071,Entire home/apt,30,162,0.95,1,97,4.962844630259907
Manhattan,Lower East Side,40.72113,-73.98442,Entire home/apt,30,123,0.72,1,224,5.19295685089021
Queens,Ditmars Steinway,40.77539,-73.91709,Entire home/apt,30,57,0.34,1,335,5.521460917862246
Bronx,Kingsbridge,40.8666,-73.90061,Private room,30,121,0.78,3,1,3.784189633918261
Brooklyn,Bedford-Stuyvesant,40.68927,-73.95439,Private room,2,294,1.73,1,352,5.176149732573829
Brooklyn,Greenpoint,40.73756,-73.9535,Entire home/apt,1,36,0.21,29,60,6.059123195581797
Brooklyn,Bushwick,40.69913,-73.93107,Private room,30,41,0.26,1,364,4.553876891600541
Brooklyn,Williamsburg,40.71065,-73.94102,Entire home/apt,30,29,0.17,1,334,5.220355825078324
Brooklyn,Bedford-Stuyvesant,40.68532,-73.91881,Private room,30,7,0.04,4,365,4.59511985013459
Manhattan,Harlem,40.81146,-73.94469,Private room,30,11,0.07,2,358,4.804021044733257
Manhattan,Harlem,40.81128,-73.9433,Entire home/apt,30,0,0.0,2,365,5.886104031450156
Manhattan,Upper West Side,40.78615,-73.97394,Private room,30,210,1.24,1,362,4.74493212836325
Brooklyn,Sunset Park,40.66161712766098,-73.99192061645073,Private room,3,25,0.15,1,315,5.198497031265826
Brooklyn,Greenpoint,40.73756,-73.9535,Entire home/apt,1,48,0.33,29,60,6.059123195581797
Brooklyn,Greenpoint,40.73756,-73.9535,Entire home/apt,1,31,0.21,29,60,6.059123195581797
Brooklyn,Greenpoint,40.73756,-73.9535,Entire home/apt,1,100,0.61,29,60,6.059123195581797
Brooklyn,Greenpoint,40.73756,-73.9535,Entire home/apt,1,50,0.3,29,60,6.059123195581797
Brooklyn,Greenpoint,40.73756,-73.9535,Entire home/apt,1,43,0.26,29,60,6.059123195581797
Brooklyn,Greenpoint,40.73756,-73.9535,Entire home/apt,1,49,0.29,29,60,6.059123195581797
Brooklyn,Greenpoint,40.73756,-73.9535,Entire home/apt,1,73,0.43,29,60,6.059123195581797
Brooklyn,Greenpoint,40.73756,-73.9535,Private room,1,12,0.07,29,41,6.059123195581797
Brooklyn,Greenpoint,40.73756,-73.9535,Private room,1,9,0.05,29,60,6.240275845170769
Brooklyn,Greenpoint,40.73756,-73.9535,Private room,1,14,0.1,29,0,5.765191102784844
Brooklyn,Greenpoint,40.73756,-73.9535,Hotel room,1,35,0.22,29,60,5.942799375126701
Brooklyn,Greenpoint,40.73756,-73.9535,Private room,1,5,0.03,29,0,6.380122536899765
Brooklyn,Williamsburg,40.71134819720268,-73.95338679325236,Private room,30,52,0.46,2,152,4.532599493153256
Brooklyn,Bedford-Stuyvesant,40.69101,-73.95018,Entire home/apt,4,306,1.81,1,280,5.43372200355424
Manhattan,Nolita,40.72032,-73.99462,Entire home/apt,30,26,0.15,2,305,6.20455776256869
Manhattan,Tribeca,40.71704,-74.00908,Entire home/apt,30,35,0.21,1,365,6.380122536899765
Manhattan,Harlem,40.82176,-73.94522,Entire home/apt,30,0,0.0,1,83,4.8283137373023015
Manhattan,Upper West Side,40.79632,-73.97643,Entire home/apt,30,248,1.48,1,167,5.5093883366279774
Manhattan,Lower East Side,40.719482,-73.98877,Entire home/apt,30,84,0.51,2,258,4.836281906951478
Manhattan,Lower East Side,40.71941,-73.98968,Entire home/apt,30,90,0.56,3,365,5.459585514144159
Brooklyn,Kensington,40.64295,-73.97293,Private room,30,63,0.51,1,238,4.23410650459726
Brooklyn,Williamsburg,40.72136,-73.95674,Entire home/apt,60,1,0.02,3,296,5.1647859739235145
Brooklyn,Crown Heights,40.66385,-73.93229,Private room,30,32,0.22,2,179,4.174387269895637
Queens,Astoria,40.76716,-73.91177,Private room,30,19,0.11,3,365,4.553876891600541
Queens,Woodside,40.74496,-73.91167,Private room,30,285,1.7,2,365,4.820281565605037
Manhattan,East Village,40.72499,-73.99198,Entire home/apt,30,36,0.21,1,332,5.556828061699537
Brooklyn,Prospect-Lefferts Gardens,40.65623,-73.9612,Entire home/apt,30,131,0.78,1,136,4.2626798770413155
Manhattan,Inwood,40.8677,-73.92122,Entire home/apt,30,22,0.18,1,243,4.394449154672439
Manhattan,Upper East Side,40.77549,-73.95128,Entire home/apt,30,1,0.01,1,289,4.564348191467836
Brooklyn,Bedford-Stuyvesant,40.68413,-73.93538,Entire home/apt,30,241,1.47,2,180,4.948759890378168
Brooklyn,Williamsburg,40.70937,-73.9657,Entire home/apt,180,2,0.01,1,365,5.863631175598097
Brooklyn,Prospect Heights,40.67782,-73.97205,Private room,30,185,1.1,1,365,6.4457198193855785
Manhattan,Harlem,40.8078,-73.95232,Private room,30,144,1.19,2,360,4.762173934797756
Manhattan,Hell's Kitchen,40.76198,-73.99361,Entire home/apt,30,75,0.46,1,50,5.298317366548036
Brooklyn,Carroll Gardens,40.67933,-73.995,Entire home/apt,30,136,0.81,1,331,5.680172609017068
Manhattan,West Village,40.73431,-74.00225,Entire home/apt,90,117,0.71,1,179,5.41610040220442
Brooklyn,Greenpoint,40.73778,-73.95366,Entire home/apt,1,49,0.3,29,60,6.059123195581797
Brooklyn,Greenpoint,40.73778,-73.95366,Entire home/apt,1,92,0.59,29,58,6.059123195581797
Brooklyn,Greenpoint,40.73778,-73.95366,Entire home/apt,1,192,1.18,29,57,6.059123195581797
Brooklyn,Greenpoint,40.73778,-73.95366,Entire home/apt,1,162,1.01,29,57,6.059123195581797
Brooklyn,Greenpoint,40.73778,-73.95366,Entire home/apt,1,46,0.28,29,60,6.059123195581797
Manhattan,Upper West Side,40.79131,-73.9694,Entire home/apt,30,65,0.43,1,195,5.926926025970411
Brooklyn,Bedford-Stuyvesant,40.68435,-73.94825,Private room,30,52,0.33,4,169,3.912023005428146
Brooklyn,East New York,40.66646,-73.89254,Entire home/apt,30,155,0.96,2,365,4.912654885736052
Manhattan,Harlem,40.80692,-73.95481,Private room,30,60,0.36,1,326,4.007333185232471
Manhattan,Harlem,40.80752,-73.94778,Entire home/apt,30,10,0.06,11,324,5.645446897643238
Manhattan,Harlem,40.8058,-73.94759,Entire home/apt,30,9,0.05,11,315,5.298317366548036
Manhattan,Harlem,40.80528,-73.94742,Entire home/apt,30,7,0.04,11,298,5.703782474656201
Manhattan,Upper East Side,40.77298,-73.95813,Private room,30,9,0.13,1,312,4.31748811353631
Manhattan,East Harlem,40.79675,-73.93634,Entire home/apt,30,12,0.08,1,88,5.0106352940962555
Manhattan,Harlem,40.8073,-73.94575,Entire home/apt,30,9,0.06,11,328,5.645446897643238
Manhattan,Harlem,40.80557,-73.94801,Entire home/apt,30,11,0.07,11,315,5.857933154483459
Brooklyn,Bushwick,40.70674,-73.91959,Private room,30,129,0.79,1,89,5.1298987149230735
Manhattan,Harlem,40.82359,-73.94601,Private room,30,32,0.2,2,274,4.1588830833596715
Manhattan,Harlem,40.82295,-73.94433,Private room,30,29,0.18,2,295,4.1588830833596715
Brooklyn,Bedford-Stuyvesant,40.69533,-73.96058,Private room,2,169,1.02,1,327,5.049856007249537
Manhattan,East Village,40.73216,-73.98678,Private room,30,189,1.14,1,306,4.795790545596741
Manhattan,Harlem,40.80272,-73.95316,Private room,30,103,0.65,1,169,4.465908118654584
Manhattan,Washington Heights,40.83249,-73.94466,Entire home/apt,30,82,0.5,1,236,5.351858133476067
Brooklyn,Williamsburg,40.71923,-73.9582,Entire home/apt,30,291,1.77,1,365,5.652489180268651
Manhattan,Upper East Side,40.77534,-73.95106,Entire home/apt,30,162,0.98,1,363,5.41610040220442
Brooklyn,Crown Heights,40.66763,-73.95836,Entire home/apt,30,144,0.87,5,50,5.4680601411351315
Brooklyn,Greenpoint,40.72617,-73.95264,Entire home/apt,30,3,0.06,4,363,5.0689042022202315
Manhattan,Hell's Kitchen,40.76269,-73.99361,Private room,30,186,1.41,3,314,4.31748811353631
Manhattan,Harlem,40.81319,-73.94194,Private room,30,95,0.58,2,179,4.90527477843843
Manhattan,Hell's Kitchen,40.75622,-73.99455,Private room,4,257,1.58,3,121,4.882801922586371
Manhattan,Hell's Kitchen,40.75557,-73.99411,Entire home/apt,30,61,0.37,3,88,5.356586274672012
Brooklyn,Park Slope,40.67534,-73.98345,Entire home/apt,30,10,0.06,1,332,5.117993812416755
Manhattan,Chelsea,40.74828,-73.9917,Entire home/apt,30,152,0.93,1,364,5.66988092298052
Brooklyn,Prospect-Lefferts Gardens,40.66,-73.95203,Private room,30,10,0.06,3,305,4.430816798843313
Manhattan,Chinatown,40.71481,-73.99059,Private room,30,162,0.98,1,268,4.787491742782046
Brooklyn,Carroll Gardens,40.68461,-73.98984,Entire home/apt,30,1,0.04,3,336,6.354370040797351
Brooklyn,Williamsburg,40.71942398164986,-73.96005436966747,Private room,2,164,1.0,2,29,5.783825182329737
Bronx,Spuyten Duyvil,40.88095,-73.91701,Entire home/apt,30,146,1.28,1,365,5.318119993844216
Manhattan,Upper East Side,40.77,-73.95842,Private room,30,106,0.65,1,118,4.787491742782046
Manhattan,Washington Heights,40.83521,-73.93836,Private room,30,14,0.16,1,83,4.31748811353631
Queens,Briarwood,40.71215,-73.81692,Private room,30,57,0.35,2,365,4.31748811353631
Brooklyn,Williamsburg,40.70717,-73.95269,Private room,60,13,0.14,2,152,3.9512437185814275
Manhattan,Harlem,40.82903,-73.94204,Entire home/apt,30,42,0.26,1,365,4.867534450455582
Manhattan,Upper West Side,40.78221,-73.98357,Private room,30,25,0.15,1,365,4.844187086458591
Brooklyn,Prospect-Lefferts Gardens,40.65914535522461,-73.95812225341797,Entire home/apt,30,125,0.77,1,306,6.075346031088684
Brooklyn,Boerum Hill,40.68561,-73.98919,Entire home/apt,30,33,0.2,3,352,5.703782474656201
Brooklyn,Crown Heights,40.67128,-73.94307,Entire home/apt,30,189,1.18,3,250,5.247024072160486
Brooklyn,Williamsburg,40.71294,-73.94461,Private room,30,178,1.09,1,179,5.099866427824199
Brooklyn,Greenpoint,40.72292,-73.94577,Entire home/apt,30,46,0.29,1,336,4.927253685157205
Brooklyn,South Slope,40.66481,-73.97776,Entire home/apt,30,355,2.24,1,217,4.8283137373023015
Queens,Astoria,40.76456,-73.91749,Entire home/apt,30,42,0.26,1,364,5.0106352940962555
Manhattan,Midtown,40.74311,-73.98303,Entire home/apt,30,220,1.35,1,325,5.5053315359323625
Manhattan,Washington Heights,40.8341081,-73.93948379999999,Entire home/apt,4,148,1.11,1,334,5.8377304471659395
Brooklyn,Clinton Hill,40.68566,-73.96781,Entire home/apt,30,117,0.72,1,119,4.969813299576001
Brooklyn,East New York,40.67322,-73.88109,Entire home/apt,30,66,0.41,1,243,4.804021044733257
Brooklyn,South Slope,40.66902,-73.98884,Entire home/apt,90,24,0.15,1,273,4.976733742420574
Brooklyn,Prospect-Lefferts Gardens,40.65712,-73.96105,Entire home/apt,30,148,0.91,1,59,4.941642422609304
Brooklyn,Williamsburg,40.71559,-73.94289,Private room,150,9,0.06,1,215,4.007333185232471
Brooklyn,Park Slope,40.66943,-73.98188,Entire home/apt,30,3,0.04,2,268,6.118097198041348
Queens,Ridgewood,40.699,-73.90295,Entire home/apt,30,330,2.02,1,147,4.276666119016055
Manhattan,Upper West Side,40.78935,-73.97225,Entire home/apt,31,38,0.24,1,178,6.249975242259483
Manhattan,Kips Bay,40.73958,-73.98143,Private room,30,1,0.01,1,274,4.605170185988092
Brooklyn,Clinton Hill,40.68884,-73.9644,Private room,30,30,0.84,1,177,5.308267697401205
Brooklyn,Windsor Terrace,40.64885,-73.97453,Private room,30,125,0.77,1,365,4.276666119016055
Manhattan,Upper West Side,40.7769,-73.97671,Entire home/apt,30,137,0.84,1,269,5.53338948872752
Brooklyn,Clinton Hill,40.6882557,-73.9638332,Private room,2,552,3.38,2,300,4.736198448394496
Manhattan,Inwood,40.86909,-73.9239,Entire home/apt,60,167,1.06,1,99,4.787491742782046
Manhattan,West Village,40.73491,-74.0058,Entire home/apt,30,448,2.78,2,149,5.424950017481403
Manhattan,Washington Heights,40.85209,-73.93941,Private room,30,1,0.01,1,87,4.634728988229636
Manhattan,SoHo,40.72371,-73.99663,Entire home/apt,30,87,0.54,1,142,5.529429087511423
Manhattan,Upper West Side,40.79903,-73.96297,Entire home/apt,30,12,0.19,2,322,4.787491742782046
Brooklyn,Williamsburg,40.71116,-73.94721,Entire home/apt,30,220,1.35,1,89,5.3471075307174685
Brooklyn,Bedford-Stuyvesant,40.68928,-73.93908,Entire home/apt,30,295,1.84,1,364,5.298317366548036
